Quantify Compound Summary Report 

Printed Wed Jun 25 15:57:34 2025

Compound 1:  AMP

	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Detection Flags	ng/mL	%Dev
56	56	20250623_PM_CP_25CMP18_56	Analyte								
57	57	20250623_PM_CP_25CMP18_57	Analyte								
58	58	20250623_PM_CP_25CMP18_58	Analyte		1.34	7.722		7.722	bb		
59	59	20250623_PM_CP_25CMP18_59	Analyte		1.34	6.025		6.025	bb		
60	60	20250623_PM_CP_25CMP18_60	Analyte								
61	61	20250623_PM_CP_25CMP18_61	Analyte								
62	62	20250623_PM_CP_25CMP18_62	Analyte		1.33	6.801		6.801	bb		
63	63	20250623_PM_CP_25CMP18_63	Analyte								
64	64	20250623_PM_CP_25CMP18_64	Analyte								
65	65	20250623_PM_CP_25CMP18_65	Analyte								
66	66	20250623_PM_CP_25CMP18_66	Analyte								
67	67	20250623_PM_CP_25CMP18_67	Analyte		1.33	11.440		11.440	bb		
68	68	20250623_PM_CP_25CMP18_68	Analyte								
69	69	20250623_PM_CP_25CMP18_69	Analyte		1.34	7.530		7.530	bb		
70	70	20250623_PM_CP_25CMP18_70	Analyte		1.31	13.041		13.041	bb		
71	71	20250623_PM_CP_25CMP18_71	Analyte								
72	72	20250623_PM_CP_25CMP18_72	Analyte		1.32	11.556		11.556	bb		
73	73	20250623_PM_CP_25CMP18_73	Analyte								
74	74	20250623_PM_CP_25CMP18_74	Analyte								
75	75	20250623_PM_CP_25CMP18_75	Analyte								
76	76	20250623_PM_CP_25CMP18_76	Analyte		1.33	17.722		17.722	MM		
77	77	20250623_PM_CP_25CMP18_77	Analyte		1.31	17.415		17.415	bb		
78	78	20250623_PM_CP_25CMP18_78	Analyte		1.31	2793.395		2793.395	bb		
79	79	20250623_PM_CP_25CMP18_79	Analyte		1.33	5.606		5.606	bb		
80	80	20250623_PM_CP_25CMP18_80	Analyte		1.33	6.744		6.744	bb		
81	81	20250623_PM_CP_25CMP18_81	Analyte								
82	82	20250623_PM_CP_25CMP18_82	Analyte								
83	83	20250623_PM_CP_25CMP18_83	Analyte								
84	84	20250623_PM_CP_25CMP18_84	Analyte								
85	85	20250623_PM_CP_25CMP18_85	Analyte								
86	86	20250623_PM_CP_25CMP18_86	Analyte								
87	87	20250623_PM_CP_25CMP18_87	Analyte								

